Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C16, C17, C18, C2, C21, C22, C3, C4, C5, C6",0603,14,100n,C14663
C10,0603,1,22p,C1653
C11,0603,1,47p,C1671
C20,0603,1,33p,C1663
"C23, C24",CP_Elec_6.3x7.7,2,100u,C2836437
C8,0603,1,100p,C14858
"D1, D2, D3",D_SOD-123,3,1N4148,C81598
Q1,SOT-363_SC-70-6,1,BC847BS,C5380687
Q2,SOT-23_Handsoldering,1,MMBT3906,C7420354
Q4,SOT-23,1,MMBFJ111,C274688
Q5,SOT-23,1,MMBT5551,C2145
"R1, R15, R18, R21, R25, R27, R28, R29, R30, R37, R38, R40, R5",0603,13,100k,C25803
"R10, R13, R4",0603,3,1M,C22935
"R11, R9",0603,2,1.5k,C22843
R12,0603,1,510,C23193
R14,0603,1,10k,C25804
R16,0603,1,22k,C31850
"R17, R2",0603,2,150k,C22807
R19,0603,1,330k,C23137
"R20, R33",0603,2,2.2k,C4190
"R22, R32",0603,2,47k,C25819
"R23, R24",0603,2,15k,C22809
R26,0603,1,27k,C22967
"R31, R34",0603,2,220k,C22961
R35,0603,1,2.2M,C22938
R36,0603,1,240k,C4197
R39,0603,1,240k,C2907016
"U1, U2, U4, U5, U6, U7",SOIC-8_3.9x4.9mm_P1.27mm,6,TL072,C6961
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM311,C12597
