"Reference","Value","Datasheet","Footprint","Qty","DNP","Part No.","Part URL","Vendor"
"H1,H2","MountingHole","~","MountingHole:MountingHole_3mm_Pad","2","","","",""
"C1,C5,C6,C10","22p","~","-- mixed values --","4","","594-K220J15C0GF53L2 ","https://mou.sr/3ZTXYXB","Mouser"
"C2","330n","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","810-FA14X7R1H334KNU6 ","https://mou.sr/4gDlMo9","Mouser"
"C3,C4,C11","100n","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","3","","594-K103K15X7RF5TK2 ","https://mou.sr/3VFZIRH","Mouser"
"C7","10u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","","80-ESS106M035AC2EA ","https://mou.sr/49DyMaU","Mouser"
"C8,C9","1u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2","","140-SG1R0M1H0407P ","https://mou.sr/41BqE8O","Mouser"
"D1","1N4001","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1","","637-1N4001 ","https://mou.sr/3DfEJyK","Mouser"
"D2","1N4148","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","512-1N4148 ","https://mou.sr/3ZP7Wt3","Mouser"
"JP1","Jumper_2_Open","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1","","737-PH1RB-02-UA ","https://mou.sr/3D93YT9","Mouser"
"J_IN1","Conn_01x06","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","","737-RS1-06-G ","https://mou.sr/3BuZUME","Mouser"
"J_OUT1,J_SWD_IO1","Conn_01x04","~","-- mixed values --","2","","737-RS1-04-G ","https://mou.sr/4gDjs0p","Mouser"
"J_SWCLKDIO1","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1","","737-PH1RB-02-UA ","https://mou.sr/3D93YT9","Mouser"
"Q_GATE_LED1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline_Wide","1","","637-2N3904 ","https://mou.sr/4febysZ","Mouser"
"R1,R3","220","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","603-MFR-25FTF52-220R","https://mou.sr/41wmEVF","Mouser"
"R2","4.7k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","603-MFR-25FBF52-4K7","https://mou.sr/4i8N07f","Mouser"
"R4,R12","47k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","603-MFR-25FBF52-47K","https://mou.sr/3XWs8rz","Mouser"
"R5,R17","100k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser"
"R6,R13","68k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","603-MFR-25FBF52-68K","https://mou.sr/4gyTECt","Mouser"
"R7,R18","51k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","603-MFR-25FBF52-51K","https://mou.sr/43NIOFo","Mouser"
"R8","10k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","603-MFR25SFRF52-10K","https://mou.sr/3XU3MyE","Mouser"
"R9,R10,R14,R15,R16,R19","1k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6","","603-MFR-25FBF52-1K","https://mou.sr/43MmrAb","Mouser"
"R11","470","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","603-MFR-25FBF52-470R","https://mou.sr/3XTF2Xk","Mouser"
"U1","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1","","926-LM7805CT/NOPB ","https://mou.sr/4gwivXu","Mouser"
"U2","6N138","http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf","Package_DIP:DIP-8_W7.62mm_LongPads","1","","859-6N138M ","https://mou.sr/3VDrRsD","Mouser"
"U3,U6","LM358","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","Package_DIP:DIP-8_W7.62mm_LongPads","2","","595-LM358P ","https://mou.sr/4izjQPc","Mouser"
"U4","MCP4822","http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf","Package_DIP:DIP-8_W7.62mm_LongPads","1","","579-MCP4822-E/P ","https://mou.sr/4gecDm5","Mouser"
"U5","Pico","","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1","","358-SC0915 ","https://mou.sr/49BoTdS","Mouser"
